20.400000	71.500
30.400000	70.500
40.000000	69.400
50.000000	68.500
60.000000	67.600
80.000000	66.000
100.000000	64.700
125.000000	63.300
150.000000	62.200
200.000000	60.900
250.000000	60.200
261.000000	60.100
300.000000	59.900
400.000000	59.800
500.000000	60.000
800.000000	60.700
1000.000000	61.900
1356.000000	64.100
1500.000000	64.600
2000.000000	66.800
2487.000000	69.400
2751.000000	70.600
2873.000000	70.900
3000.000000	71.000
4062.000000	69.000
4368.000000	68.800
4832.000000	68.600
5194.000000	68.200
6000.000000	68.300
6450.000000	69.300
6834.000000	69.100
6933.000000	68.900
7034.000000	68.700
7240.000000	68.400
7346.000000	68.300
7452.000000	68.400
7782.000000	69.000
7896.000000	69.100
8010.000000	69.200
8120.000000	69.000
8365.000000	68.100
8610.000000	66.600
8736.000000	65.800
9255.000000	62.400
9390.000000	61.700
9948.000000	60.000
10093.000000	59.800
10240.000000	59.700
10540.000000	59.600
10848.000000	59.600
11000.000000	59.400
11500.000000	58.300
12002.000000	56.800
12354.000000	56.000
12534.000000	55.800
12901.000000	55.500
13279.000000	55.500
13472.000000	55.700
13867.000000	56.300
14273.000000	57.300
14692.000000	58.800
15122.000000	60.200
15342.000000	60.600
15565.000000	60.600
16254.000000	58.200
16975.000000	55.700
17222.000000	55.400
17977.000000	55.300
18777.000000	45.700
19000.000000	40.600
